Period,Player,LotteryIndex,Choice,TimeExpired,Red-1-$,Red-1-Ticket,Red-2-$,Red-2-Ticket,Red-3-$,Red-3-Ticket,Red-4-$,Red-4-Ticket,Blue-1-$,Blue-1-Ticket,Blue-2-$,Blue-2-Ticket,Blue-3-$,Blue-3-Ticket,Blue-4-$,Blue-4-Ticket,Winning#,Flipped#,
1,1,1,Blue,False,30,90,25,5,20,1,0,4,30,90,25,6,0,1,0,3,36,True,
1,2,1,Blue,False,30,90,25,5,20,1,0,4,30,90,25,6,0,1,0,3,36,True,
1,3,1,Red,False,30,90,25,6,0,1,0,3,30,90,25,5,20,1,0,4,36,False,
1,4,1,Red,False,30,90,25,6,0,1,0,3,30,90,25,5,20,1,0,4,36,False,
1,5,1,Red,False,30,90,25,5,20,1,0,4,30,90,25,6,0,1,0,3,36,True,
1,6,1,Red,False,30,90,25,6,0,1,0,3,30,90,25,5,20,1,0,4,36,False,
1,7,1,Blue,False,30,90,25,6,0,1,0,3,30,90,25,5,20,1,0,4,36,False,
1,8,1,Red,False,30,90,25,6,0,1,0,3,30,90,25,5,20,1,0,4,36,False,
1,9,1,Blue,False,30,90,25,5,20,1,0,4,30,90,25,6,0,1,0,3,36,True,
1,10,1,Blue,False,30,90,25,6,0,1,0,3,30,90,25,5,20,1,0,4,36,False,
1,11,1,Blue,False,30,90,25,5,20,1,0,4,30,90,25,6,0,1,0,3,36,True,
1,12,1,Red,False,30,90,25,6,0,1,0,3,30,90,25,5,20,1,0,4,36,False,
1,13,1,Blue,False,30,90,25,5,20,1,0,4,30,90,25,6,0,1,0,3,36,True,
1,14,1,Red,False,30,90,25,5,20,1,0,4,30,90,25,6,0,1,0,3,36,True,
2,1,2,Red,False,40,80,30,17,0,1,0,2,40,80,30,16,20,1,0,3,74,False,
2,2,2,Blue,False,40,80,30,16,20,1,0,3,40,80,30,17,0,1,0,2,74,True,
2,3,2,Blue,False,40,80,30,17,0,1,0,2,40,80,30,16,20,1,0,3,74,False,
2,4,2,Blue,False,40,80,30,17,0,1,0,2,40,80,30,16,20,1,0,3,74,False,
2,5,2,Blue,False,40,80,30,17,0,1,0,2,40,80,30,16,20,1,0,3,74,False,
2,6,2,Blue,False,40,80,30,17,0,1,0,2,40,80,30,16,20,1,0,3,74,False,
2,7,2,Blue,False,40,80,30,16,20,1,0,3,40,80,30,17,0,1,0,2,74,True,
2,8,2,Red,False,40,80,30,17,0,1,0,2,40,80,30,16,20,1,0,3,74,False,
2,9,2,Red,False,40,80,30,17,0,1,0,2,40,80,30,16,20,1,0,3,74,False,
2,10,2,Red,False,40,80,30,16,20,1,0,3,40,80,30,17,0,1,0,2,74,True,
2,11,2,Blue,False,40,80,30,17,0,1,0,2,40,80,30,16,20,1,0,3,74,False,
2,12,2,Blue,False,40,80,30,17,0,1,0,2,40,80,30,16,20,1,0,3,74,False,
2,13,2,Blue,False,40,80,30,17,0,1,0,2,40,80,30,16,20,1,0,3,74,False,
2,14,2,Red,False,40,80,30,16,20,1,0,3,40,80,30,17,0,1,0,2,74,True,
3,1,3,Blue,False,30,90,20,7,0,1,0,2,30,90,20,6,10,1,0,3,23,False,
3,2,3,Red,False,30,90,20,7,0,1,0,2,30,90,20,6,10,1,0,3,23,False,
3,3,3,Blue,False,30,90,20,7,0,1,0,2,30,90,20,6,10,1,0,3,23,False,
3,4,3,Red,False,30,90,20,6,10,1,0,3,30,90,20,7,0,1,0,2,23,True,
3,5,3,Blue,False,30,90,20,6,10,1,0,3,30,90,20,7,0,1,0,2,23,True,
3,6,3,Blue,False,30,90,20,7,0,1,0,2,30,90,20,6,10,1,0,3,23,False,
3,7,3,Red,False,30,90,20,7,0,1,0,2,30,90,20,6,10,1,0,3,23,False,
3,8,3,Blue,False,30,90,20,7,0,1,0,2,30,90,20,6,10,1,0,3,23,False,
3,9,3,Blue,False,30,90,20,7,0,1,0,2,30,90,20,6,10,1,0,3,23,False,
3,10,3,Red,False,30,90,20,7,0,1,0,2,30,90,20,6,10,1,0,3,23,False,
3,11,3,Red,False,30,90,20,7,0,1,0,2,30,90,20,6,10,1,0,3,23,False,
3,12,3,Blue,False,30,90,20,7,0,1,0,2,30,90,20,6,10,1,0,3,23,False,
3,13,3,Blue,False,30,90,20,7,0,1,0,2,30,90,20,6,10,1,0,3,23,False,
3,14,3,Blue,False,30,90,20,6,10,1,0,3,30,90,20,7,0,1,0,2,23,True,
4,1,4,Blue,False,50,70,30,24,0,1,0,5,50,70,30,23,10,1,0,6,43,False,
4,2,4,Blue,False,50,70,30,23,10,1,0,6,50,70,30,24,0,1,0,5,43,True,
4,3,4,Blue,False,50,70,30,23,10,1,0,6,50,70,30,24,0,1,0,5,43,True,
4,4,4,Red,False,50,70,30,23,10,1,0,6,50,70,30,24,0,1,0,5,43,True,
4,5,4,Blue,False,50,70,30,24,0,1,0,5,50,70,30,23,10,1,0,6,43,False,
4,6,4,Blue,False,50,70,30,23,10,1,0,6,50,70,30,24,0,1,0,5,43,True,
4,7,4,Blue,False,50,70,30,23,10,1,0,6,50,70,30,24,0,1,0,5,43,True,
4,8,4,Blue,False,50,70,30,23,10,1,0,6,50,70,30,24,0,1,0,5,43,True,
4,9,4,Blue,False,50,70,30,23,10,1,0,6,50,70,30,24,0,1,0,5,43,True,
4,10,4,Blue,False,50,70,30,23,10,1,0,6,50,70,30,24,0,1,0,5,43,True,
4,11,4,Blue,False,50,70,30,23,10,1,0,6,50,70,30,24,0,1,0,5,43,True,
4,12,4,Blue,False,50,70,30,24,0,1,0,5,50,70,30,23,10,1,0,6,43,False,
