Period,Player,LotteryIndex,Choice,TimeExpired,Red-1-$,Red-1-Ticket,Red-2-$,Red-2-Ticket,Red-3-$,Red-3-Ticket,Red-4-$,Red-4-Ticket,Blue-1-$,Blue-1-Ticket,Blue-2-$,Blue-2-Ticket,Blue-3-$,Blue-3-Ticket,Blue-4-$,Blue-4-Ticket,Winning#,Flipped#,
1,1,1,Red,False,30,90,25,5,20,1,0,4,30,90,25,6,0,1,0,3,36,True,
1,2,1,Blue,False,30,90,25,6,0,1,0,3,30,90,25,5,20,1,0,4,36,False,
1,3,1,Red,False,30,90,25,5,20,1,0,4,30,90,25,6,0,1,0,3,36,True,
1,4,1,Blue,False,30,90,25,5,20,1,0,4,30,90,25,6,0,1,0,3,36,True,
2,1,2,Red,False,40,80,30,17,0,1,0,2,40,80,30,16,20,1,0,3,74,False,
2,2,2,Blue,False,40,80,30,16,20,1,0,3,40,80,30,17,0,1,0,2,74,True,
2,3,2,Red,False,40,80,30,16,20,1,0,3,40,80,30,17,0,1,0,2,74,True,
2,4,2,Red,False,40,80,30,17,0,1,0,2,40,80,30,16,20,1,0,3,74,False,
3,1,3,Blue,False,30,90,20,6,10,1,0,3,30,90,20,7,0,1,0,2,23,True,
3,2,3,Blue,False,30,90,20,7,0,1,0,2,30,90,20,6,10,1,0,3,23,False,
3,3,3,Blue,False,30,90,20,7,0,1,0,2,30,90,20,6,10,1,0,3,23,False,
3,4,3,Blue,False,30,90,20,6,10,1,0,3,30,90,20,7,0,1,0,2,23,True,
4,1,4,Red,False,50,70,30,23,10,1,0,6,50,70,30,24,0,1,0,5,43,True,
4,2,4,Blue,False,50,70,30,24,0,1,0,5,50,70,30,23,10,1,0,6,43,False,
4,3,4,Red,False,50,70,30,23,10,1,0,6,50,70,30,24,0,1,0,5,43,True,
4,4,4,Blue,False,50,70,30,23,10,1,0,6,50,70,30,24,0,1,0,5,43,True,
5,1,5,Blue,False,20,80,15,16,10,1,0,3,20,80,15,17,0,1,0,2,55,True,
5,2,5,Red,False,20,80,15,16,10,1,0,3,20,80,15,17,0,1,0,2,55,True,
5,3,5,Blue,False,20,80,15,17,0,1,0,2,20,80,15,16,10,1,0,3,55,False,
5,4,5,Red,False,20,80,15,16,10,1,0,3,20,80,15,17,0,1,0,2,55,True,
6,1,6,Blue,False,40,90,25,7,0,1,0,2,40,90,25,6,10,1,0,3,99,False,
6,2,6,Red,False,40,90,25,7,0,1,0,2,40,90,25,6,10,1,0,3,99,False,
6,3,6,Blue,False,40,90,25,6,10,1,0,3,40,90,25,7,0,1,0,2,99,True,
6,4,6,Red,False,40,90,25,6,10,1,0,3,40,90,25,7,0,1,0,2,99,True,
7,1,7,Red,False,75,60,50,36,25,1,0,3,75,60,50,37,0,1,0,2,9,True,
7,2,7,Blue,False,75,60,50,36,25,1,0,3,75,60,50,37,0,1,0,2,9,True,
7,3,7,Red,False,75,60,50,36,25,1,0,3,75,60,50,37,0,1,0,2,9,True,
7,4,7,Blue,False,75,60,50,37,0,1,0,2,75,60,50,36,25,1,0,3,9,False,
8,1,8,Blue,False,30,50,25,47,0,1,0,2,30,50,25,46,20,1,0,3,52,False,
8,2,8,Red,False,30,50,25,46,20,1,0,3,30,50,25,47,0,1,0,2,52,True,
8,3,8,Blue,False,30,50,25,46,20,1,0,3,30,50,25,47,0,1,0,2,52,True,
8,4,8,Blue,False,30,50,25,46,20,1,0,3,30,50,25,47,0,1,0,2,52,True,
9,1,9,Blue,False,60,70,40,26,20,1,0,3,60,70,40,27,0,1,0,2,79,True,
9,2,9,Red,False,60,70,40,27,0,1,0,2,60,70,40,26,20,1,0,3,79,False,
9,3,9,Blue,False,60,70,40,27,0,1,0,2,60,70,40,26,20,1,0,3,79,False,
9,4,9,Red,False,60,70,40,27,0,1,0,2,60,70,40,26,20,1,0,3,79,False,
10,1,10,Red,False,20,90,10,7,0,1,0,2,20,90,10,6,5,1,0,3,41,False,
10,2,10,Blue,False,20,90,10,7,0,1,0,2,20,90,10,6,5,1,0,3,41,False,
10,3,10,Red,False,20,90,10,6,5,1,0,3,20,90,10,7,0,1,0,2,41,True,
10,4,10,Red,False,20,90,10,6,5,1,0,3,20,90,10,7,0,1,0,2,41,True,
,
Number,Name,Student ID,Lottery Earnings,Quiz Earnings,Quiz Answer 1,Quiz Result 1,Quiz Answer 2,Quiz Result 2,Quiz Answer 3,Quiz Result 3,Quiz Answer 4,Quiz Result 4,
1,Instruction Robot 1,44842,$3.30,$2.00,50,Correct,75,Correct,40,Correct,50,Correct,
2,Instruction Robot 2,79605,$3.30,$2.00,50,Correct,75,Correct,40,Correct,50,Correct,
3,Instruction Robot 3,44842,$3.30,$2.00,50,Correct,75,Correct,40,Correct,50,Correct,
4,Instruction Robot 4,18594,$3.30,$2.00,50,Correct,75,Correct,40,Correct,50,Correct,
