Period,Player,LotteryIndex,Choice,TimeExpired,Red-1-$,Red-1-Ticket,Red-2-$,Red-2-Ticket,Red-3-$,Red-3-Ticket,Red-4-$,Red-4-Ticket,Winning#,Blue-1-$,Blue-1-Ticket,Blue-2-$,Blue-2-Ticket,Blue-3-$,Blue-3-Ticket,Blue-4-$,Blue-4-Ticket,Winning#,
1,1,1,Red,False,30,90,25,6,0,1,0,3,30,90,25,5,20,1,0,4,False,
1,2,1,Red,False,30,90,25,5,20,1,0,4,30,90,25,6,0,1,0,3,True,
2,1,2,Blue,False,40,80,30,17,0,1,0,2,40,80,30,16,20,1,0,3,False,
2,2,2,Blue,False,40,80,30,16,20,1,0,3,40,80,30,17,0,1,0,2,True,
3,1,3,Blue,False,30,90,20,6,10,1,0,3,30,90,20,7,0,1,0,2,True,
3,2,3,Blue,False,30,90,20,6,10,1,0,3,30,90,20,7,0,1,0,2,True,
4,1,4,Blue,False,50,70,30,23,10,1,0,6,50,70,30,24,0,1,0,5,True,
4,2,4,Blue,False,50,70,30,24,0,1,0,5,50,70,30,23,10,1,0,6,False,
,
Number,Name,Student ID,Lottery Earnings,Quiz Earnings,Quiz Answer 1,Quiz Result 1,Quiz Answer 2,Quiz Result 2,Quiz Answer 3,Quiz Result 3,Quiz Answer 4,Quiz Result 4,
1,asdf,asdf,$1.45,$0.00,,,,,,,,,
2,asdf,asdf,$1.40,$0.00,,,,,,,,,
